well_id,n_rows,rare_frac,rmse_overall,rmse_rare,rmse_common
000d7d20,3836,0.0,14.250865118194818,,14.250865118194818
67a8da4a,4911,0.0008144980655670943,14.218187858391959,9.089961824463511,14.221613897578921
37d36812,4367,0.0002289901534234028,14.170457817332165,8.90550507516491,14.171439659443678
122bd617,4570,0.0,14.144923090976812,,14.144923090976812
071d7b45,3211,0.0,14.137704775431938,,14.137704775431938
9af1ffd0,3525,0.0,14.125741848753323,,14.125741848753323
7e721392,6174,0.0,14.112550512429031,,14.112550512429031
c3957531,5316,0.0,14.1087000346854,,14.1087000346854
9dede370,6297,0.0,14.099943517769681,,14.099943517769681
198a5607,6251,0.0,14.051914099674459,,14.051914099674459
93209a3d,4697,0.0004258037044922291,14.034148316412695,13.267477324544963,14.034465982581315
b3388334,6080,0.0001644736842105263,13.993401732750293,7.854637267873841,13.994190040432397
276b012a,4837,0.0,13.981580400679556,,13.981580400679556
dd6bc5b2,3602,0.0,13.96423020061318,,13.96423020061318
26623a50,5735,0.0,13.900092363175913,,13.900092363175913
c66be2b8,4154,0.00048146364949446316,13.886452038426773,3.5811459404090606,13.88957377769777
8b5be31b,5672,0.0003526093088857546,13.849499636981513,18.83166228085534,13.847426009397315
27300fd5,5467,0.0,13.844239094555363,,13.844239094555363
9426ec1e,2532,0.0,13.762783368084776,,13.762783368084776
7bb17b96,3922,0.0005099439061703213,13.736937399933757,6.994874383180493,13.739532852240924
8b12bab6,5234,0.0,13.711902834378963,,13.711902834378963
14ab73fb,3649,0.0,13.693660858330452,,13.693660858330452
30d75030,3404,0.0,13.663514944977376,,13.663514944977376
c99f9fae,6361,0.0,13.642118097702689,,13.642118097702689
0849b4e2,5537,0.00036120642947444465,13.629382264774419,21.471913575343795,13.625732677417107
1a68190b,4474,0.0004470272686633885,13.615979765202356,12.060412802522654,13.616635701350274
8ac2f237,5319,0.0,13.578142937899955,,13.578142937899955
9c8375f7,3674,0.0,13.530888376759846,,13.530888376759846
833af382,3628,0.0,13.47439249476611,,13.47439249476611
65156b96,3221,0.0,13.465795289565039,,13.465795289565039
b881d27e,4009,0.0,13.41617688409879,,13.41617688409879
a0b83014,5035,0.0,13.415696229157367,,13.415696229157367
b7fea9ef,3866,0.0,13.343505304176713,,13.343505304176713
bcebcc5f,6258,0.0,13.251890710277236,,13.251890710277236
05a0ee4d,4348,0.0,13.218228148024265,,13.218228148024265
f6824bb0,5015,0.0,13.171451721348383,,13.171451721348383
eba6605e,4410,0.0,13.126516082096238,,13.126516082096238
3a223519,4583,0.0002181976871045167,13.110987653532536,8.535005968198675,13.11181203393963
7ff89f8f,7337,0.0,13.031029440861193,,13.031029440861193
8f201368,6349,0.0,12.960448362844655,,12.960448362844655
46a301e9,8226,0.0,12.957464421598099,,12.957464421598099
3c3dbcbc,5069,0.0003945551390806865,12.925485931458983,17.73394729647365,12.923234751100702
9bd2bba3,7439,0.0,12.924943755802607,,12.924943755802607
f4d12d23,3701,0.0,12.908801427748884,,12.908801427748884
a645da9a,5153,0.00019406171162429653,12.890796415158302,2.7562530583818443,12.89199021339162
5254b6db,3274,0.0,12.884399186190244,,12.884399186190244
dc7f9757,4360,0.00045871559633027525,12.872446272964217,11.035709209328505,12.873229038224553
8c8348e8,3888,0.0,12.867409586055985,,12.867409586055985
1e30dedf,4071,0.00024563989191844754,12.825946771546452,10.434156996079764,12.826479629918216
d9ae59b2,3648,0.00027412280701754384,12.786954342408922,14.255964698695607,12.78652839813383
466fc788,6197,0.0,12.74193543365127,,12.74193543365127
ec0d597b,4616,0.0,12.72882388283437,,12.72882388283437
5663b2b7,4972,0.0,12.653848499969962,,12.653848499969962
29b24409,5587,0.0,12.589299198484271,,12.589299198484271
df71d1ff,6228,0.0,12.574911599322366,,12.574911599322366
9c350a6a,6052,0.0,12.570670489395159,,12.570670489395159
eafb863e,3568,0.0,12.52786691130174,,12.52786691130174
201661b5,5955,0.0,12.524492816427887,,12.524492816427887
b4f37e6e,2992,0.0,12.508803942697204,,12.508803942697204
2d35f86d,4896,0.0,12.494217901779473,,12.494217901779473
1beca81d,5036,0.00019857029388403494,12.350814197147237,20.348011921263605,12.348711474910399
81fc01c6,5909,0.0008461668641056016,12.314332744080232,9.794650750400939,12.316248161834816
660d9546,4732,0.0008453085376162299,12.306196712502809,8.272986925915106,12.309049420342799
f053a1b9,4108,0.00024342745861733204,12.286580032683382,6.018615222976223,12.287716861599074
028d7b28,6234,0.0,12.286254174170832,,12.286254174170832
53134831,5126,0.0,12.265060118620253,,12.265060118620253
272abef3,4135,0.0,12.242139943465572,,12.242139943465572
10be2420,3271,0.0,12.21935857353677,,12.21935857353677
7987f2f2,3705,0.0,12.17915389852143,,12.17915389852143
d543916f,4799,0.00041675349031048136,12.172695895136298,9.899928397833625,12.17355498217207
939d9c34,5101,0.0,12.17161023258011,,12.17161023258011
f40cd091,5166,0.0,12.150304143717754,,12.150304143717754
ecdab904,6147,0.0,12.148177013250066,,12.148177013250066
9e3e364d,4290,0.0002331002331002331,12.10786539625253,17.43518183969354,12.106349961171093
bf70b410,6347,0.0,12.074547792632883,,12.074547792632883
974802e7,5843,0.0,12.07319370017766,,12.07319370017766
a79fd2e7,4404,0.0,12.056219269861515,,12.056219269861515
35b30c7f,9579,0.00020879006159306817,12.03388186829533,7.368651815096026,12.034667252400537
ee4aecac,5265,0.0001899335232668566,12.008200977101808,5.0836852189204365,12.009137112458138
96ae5806,9839,0.0004065453806281126,12.003883102763316,13.263698943642954,12.003343822682895
4ed93db6,4657,0.0,11.961702824236909,,11.961702824236909
3932faa6,5452,0.0,11.960132528373121,,11.960132528373121
1a730ac2,4605,0.00043431053203040176,11.955200271918805,14.642975096905575,11.953901088424049
d463e527,4767,0.0,11.844099490642181,,11.844099490642181
cda7eb37,5973,0.0,11.836744730082318,,11.836744730082318
7850c72e,5497,0.0,11.81164373487219,,11.81164373487219
7acda2df,3091,0.0,11.801920517145438,,11.801920517145438
796dbd4c,6248,0.0,11.797774372751205,,11.797774372751205
5a1a8fd8,5260,0.0,11.755961532304266,,11.755961532304266
e0f36d98,4976,0.00040192926045016077,11.726533251448204,1.444910762740829,11.728854793936621
12f0cd90,5947,0.0,11.664053598346158,,11.664053598346158
57796579,5890,0.00016977928692699492,11.556306463464377,15.947084605566488,11.55541919752589
73b1447d,5670,0.0,11.510170278696492,,11.510170278696492
9c211c53,7265,0.00013764624913971095,11.506986979935306,14.489668967960824,11.506523142562251
e5ff9fd2,2354,0.0,11.502328808657746,,11.502328808657746
be063506,4500,0.0,11.473065121069114,,11.473065121069114
c9e980e8,4359,0.0,11.450813546685465,,11.450813546685465
58fa8486,4475,0.000223463687150838,11.42732530768288,10.719709844781391,11.427478571427029
20402d71,6372,0.0,11.398454280110284,,11.398454280110284
df8290be,3972,0.0,11.381428685955301,,11.381428685955301
811f52b3,4836,0.0,11.380426943876689,,11.380426943876689
dc7da28f,4774,0.00020946795140343527,11.35882045579119,18.92816184223193,11.3567059939313
6e6d122c,5632,0.0001775568181818182,11.345124145853159,4.839387550664469,11.345948199581363
5beded95,3057,0.00032711808963035657,11.343006658059847,12.379490821293075,11.342651993056064
529e88ca,3417,0.001170617500731636,11.338965139766287,12.267964260128153,11.337831704300829
4b831d20,7312,0.00013676148796498905,11.332207168392491,16.643635819342308,11.331310379060445
0955cd6c,5195,0.0007699711260827719,11.329744019301428,7.866551310010336,11.33200454592889
7d57c75d,4405,0.0,11.318622240527011,,11.318622240527011
a7fc3e6b,4764,0.0,11.307413456294269,,11.307413456294269
9ab94eeb,4442,0.0,11.28248702509586,,11.28248702509586
2fe023be,4221,0.0,11.257745842400825,,11.257745842400825
b585b4fa,4294,0.0,11.235613158282405,,11.235613158282405
c6b782a4,4877,0.0,11.21696920097336,,11.21696920097336
33c40295,4169,0.0,11.215352850928861,,11.215352850928861
48c1f673,2917,0.0,11.19769540996179,,11.19769540996179
19fb4f7b,5620,0.0,11.192421971480396,,11.192421971480396
46a7190b,4215,0.00023724792408066428,11.16009483142045,16.96713890361025,11.15835813653481
ec13af42,5462,0.0,11.149625264355713,,11.149625264355713
3aaa2b30,4711,0.0004245383145828911,11.142904556800357,10.19375889160543,11.14329050120901
c42fe306,5095,0.0,11.119325562651463,,11.119325562651463
b7cdcecb,6168,0.00016212710765239947,11.117352426789328,17.73414846050764,11.115960110075264
e3b34f5b,5455,0.0,11.108596391956016,,11.108596391956016
1aaf1da0,4804,0.0,11.088303419277404,,11.088303419277404
992c99e8,4904,0.0,10.996146469833672,,10.996146469833672
add9c322,3932,0.000762970498474059,10.987807655809624,10.673551024045262,10.988044173512712
f5859199,5790,0.0,10.978188619850908,,10.978188619850908
c6c96179,4004,0.0,10.962591421901731,,10.962591421901731
ea0b99b7,9239,0.0,10.93663888200362,,10.93663888200362
eeda36f5,4797,0.0,10.925610451219296,,10.925610451219296
9a8ae0d6,6294,0.0,10.88409030596614,,10.88409030596614
5d11dfb5,5895,0.0005089058524173028,10.883487123236783,12.280443204219562,10.882730167371161
e6c55748,4472,0.0004472271914132379,10.881081020141945,13.668079027986641,10.879674254336543
e2fc7745,3692,0.0,10.853923658588588,,10.853923658588588
d07aed8f,2957,0.0,10.841982071438494,,10.841982071438494
521a7819,5200,0.0,10.791058438375886,,10.791058438375886
b5aa9634,7326,0.000546000546000546,10.785372364418969,5.654470682650437,10.787508424593534
1295a25b,5551,0.0,10.775486088618173,,10.775486088618173
b04b58a3,3402,0.0,10.765786705167658,,10.765786705167658
a3518960,4967,0.00020132876988121604,10.721620788397054,13.528138212623162,10.720981655810506
c03b9305,4255,0.0,10.677581328541597,,10.677581328541597
01982c1d,3941,0.0,10.673423090071685,,10.673423090071685
e32da4ec,4689,0.00042653017701002344,10.6481997600799,9.902624985867833,10.648506763389461
ff8bb73a,5927,0.0,10.63822644899354,,10.63822644899354
d5df0ff5,4032,0.0,10.626401218491964,,10.626401218491964
fae0c593,4403,0.0,10.608630665742742,,10.608630665742742
e5c92e59,4295,0.00023282887077997672,10.552270444972367,9.546581119431721,10.55249348999926
27c3155b,4958,0.0,10.541147697830715,,10.541147697830715
e7c36e81,3531,0.0,10.53662247044088,,10.53662247044088
633774dc,6233,0.0,10.523549062961479,,10.523549062961479
09053135,5907,0.0,10.500410707439443,,10.500410707439443
98177ced,4772,0.0,10.469911919666016,,10.469911919666016
6e9ccd38,8282,0.0001207437816952427,10.46015280065911,5.1355525947419665,10.460632126969134
722cf0d8,5143,0.0,10.43696952755313,,10.43696952755313
e737965a,5955,0.0,10.433721894900469,,10.433721894900469
8bda1a11,5981,0.0,10.411712937461626,,10.411712937461626
d0a43760,4041,0.0,10.41035391139782,,10.41035391139782
9d4272e3,4030,0.0,10.407083046008617,,10.407083046008617
2d9f6cb9,7338,0.0,10.364003161926485,,10.364003161926485
a4cdbb0f,5204,0.0,10.362140032347634,,10.362140032347634
177622d7,3154,0.0,10.343400484362192,,10.343400484362192
2d196986,6474,0.0,10.329342150279045,,10.329342150279045
43c7f85a,5978,0.0,10.321914080316553,,10.321914080316553
4cd1ac61,4489,0.0,10.321398069587692,,10.321398069587692
46d41ff6,7901,0.0,10.300228305939727,,10.300228305939727
e25f1537,3177,0.0,10.300088456273443,,10.300088456273443
37344c2a,5197,0.0,10.298896028714202,,10.298896028714202
cbb406b5,6328,0.00015802781289506955,10.284421104521003,5.614225281304243,10.284991630617093
14ad5efb,5842,0.00017117425539198904,10.283443019379904,9.866131387288988,10.283513014722244
807f0298,3747,0.0002668801708033093,10.27544844683685,1.3374197824705334,10.276796646448819
d114d9c2,6206,0.0,10.273195122265099,,10.273195122265099
5f75f796,5562,0.0,10.251297897834753,,10.251297897834753
52f1e77a,4442,0.00022512381809995497,10.18681130336867,10.492955738607634,10.186741331338773
ea3a0e38,10052,0.0005968961400716276,10.179699681210314,9.35911969866966,10.180170010818332
e7d0c1de,4711,0.0,10.174122386720832,,10.174122386720832
9298ad5b,3964,0.0002522704339051463,10.124433939286936,8.191885828773593,10.124875036437016
059c8f24,6258,0.00015979546180888463,10.095849642557894,14.252265833243655,10.095048587096
c96c018a,6236,0.0,10.056695121576485,,10.056695121576485
76201745,4448,0.0,10.049365294189897,,10.049365294189897
e97032ad,3530,0.0,10.045750426223611,,10.045750426223611
da940160,5132,0.0,10.043317647236801,,10.043317647236801
3ef98781,3892,0.0005138746145940391,10.040140231886989,12.994866298482508,10.03839740649585
a692b17e,3566,0.0,10.036048356521903,,10.036048356521903
8478df29,4857,0.0,10.024114902950524,,10.024114902950524
0d99f8e4,5823,0.0,10.00493306932261,,10.00493306932261
28f4eda9,5266,0.00018989745537409798,9.994079629560131,0.1608419017484266,9.995028444073279
4a8ecc0b,5809,0.0,9.97445552524564,,9.97445552524564
d085e611,6191,0.0,9.952873400044375,,9.952873400044375
94467f50,3035,0.0006589785831960461,9.942017856805723,10.157238202707582,9.94187440054971
7cbbd047,5121,0.0003905487209529389,9.920008345702414,10.443180187502058,9.919798549525972
ed6e6e54,6048,0.0,9.913654511287382,,9.913654511287382
